epoch,best_cost,best_x,best_y
0,1.825108,1.225822,-0.567863
1,0.174384,-0.261207,-0.325815
2,0.049950,-0.138072,-0.175743
3,0.028299,-0.167681,-0.013481
4,0.028299,-0.167681,-0.013481
5,0.025913,-0.126413,-0.099661
6,0.006300,-0.075641,0.024062
7,0.006119,-0.066586,-0.041057
8,0.004062,-0.062001,-0.014745
9,0.003606,-0.059093,-0.010666
10,0.003430,-0.057965,-0.008340
11,0.003290,-0.056324,-0.010858
12,0.003263,-0.056677,-0.007102
13,0.003262,-0.056675,-0.007093
14,0.003206,-0.056614,-0.001184
15,0.003051,-0.054396,0.009618
16,0.002867,-0.053525,0.001328
17,0.002866,-0.053522,0.001331
18,0.001031,-0.031759,0.004686
19,0.000143,-0.010303,0.006039
20,0.000004,0.001586,0.001010
21,0.000002,0.001194,-0.000450
22,0.000002,0.001194,-0.000450
23,0.000001,0.001196,-0.000114
24,0.000001,-0.000918,-0.000156
25,0.000000,0.000116,-0.000077
