epoch,best_cost,best_x,best_y
0,358.402945,1.202965,-0.445921
1,358.402945,2.368260,0.955550
2,158.046404,1.383026,0.656179
3,65.188297,0.336719,-0.691284
4,64.823930,-0.884958,0.000394
5,36.085808,0.453130,-0.392894
6,1.025202,0.391645,0.234325
7,1.025202,0.391645,0.234325
8,0.272463,0.944249,0.943505
9,0.272463,0.944249,0.943505
10,0.272463,0.944249,0.943505
11,0.272463,0.944249,0.943505
12,0.152523,0.739424,0.575837
13,0.152523,0.739424,0.575837
14,0.152523,0.739424,0.575837
15,0.152523,0.739424,0.575837
16,0.071231,0.947218,0.923385
17,0.071231,0.947218,0.923385
18,0.011704,0.913260,0.840509
19,0.011704,0.913260,0.840509
20,0.011704,0.913260,0.840509
21,0.011704,0.913260,0.840509
22,0.011704,0.913260,0.840509
23,0.002938,0.949266,0.899198
24,0.002938,0.949266,0.899198
25,0.002938,0.949266,0.899198
