epoch,best_cost,best_x,best_y
0,6.295091,1.176178,0.721933
1,5.918885,-0.645543,1.127113
2,2.581362,0.858461,-0.077460
3,2.581362,0.858461,-0.077460
4,2.581362,0.858461,-0.077460
5,2.581362,0.858461,-0.077460
6,2.581362,0.858461,-0.077460
7,2.581362,0.858461,-0.077460
8,2.581362,0.858461,-0.077460
9,2.581362,0.858461,-0.077460
10,2.323488,-0.096322,-0.436399
11,2.323488,-0.096322,-0.436399
12,2.323488,-0.096322,-0.436399
13,0.921506,-0.200856,-0.020050
14,0.918545,-0.199840,-0.024223
15,0.918545,-0.199840,-0.024223
16,0.918545,-0.199840,-0.024223
17,0.004668,-0.000217,0.012551
18,0.004668,-0.000217,0.012551
19,0.004668,-0.000217,0.012551
20,0.004668,-0.000217,0.012551
21,0.004668,-0.000217,0.012551
22,0.004668,-0.000217,0.012551
23,0.004668,-0.000217,0.012551
24,0.004668,-0.000217,0.012551
25,0.004668,-0.000217,0.012551
